ORIGINAL FILENAME:
Qkl_131_chianti.ioneq_sun_coronal_1992_feldman_ext.abund.AIA-lastoptimizedWL-photons-Abund-1e-3-ALL-withCONTINUUM_Ne1E08_C71.extended.interpolated.out
Files used for ioneq and abundance:
chianti.ioneq
sun_coronal_1992_feldman_ext.abund
Ne, logEM:
  1.00000e+08      16.0000
Instr-fwhm, NTemp, w1, w2, w-bin, Nlambda
   0.00100000     535      85     100   0.00100000      15001.0
Renorm. Const for PHI:
     0.623323
       logTe[K]     Integral(d_lambda*Emissivity(lambda)*phi_peak1(lambda))/N_e^2    Sum/N_e^2
       5.0000000   2.2873556e-18      0.00000
       5.0043090   2.3925095e-18      0.00000
       5.0086181   2.4976634e-18      0.00000
       5.0129271   2.6028173e-18      0.00000
       5.0172362   2.7079712e-18      0.00000
       5.0215452   2.8131251e-18      0.00000
       5.0258543   2.9243552e-18      0.00000
       5.0301633   3.0395339e-18      0.00000
       5.0344724   3.1547125e-18      0.00000
       5.0387814   3.2698912e-18      0.00000
       5.0430904   3.3850698e-18      0.00000
       5.0473995   3.5021804e-18      0.00000
       5.0517085   3.6264666e-18      0.00000
       5.0560176   3.7507528e-18      0.00000
       5.0603266   3.8750389e-18      0.00000
       5.0646357   3.9993251e-18      0.00000
       5.0689447   4.1236112e-18      0.00000
       5.0732538   4.2543722e-18      0.00000
       5.0775628   4.3865724e-18      0.00000
       5.0818719   4.5187727e-18      0.00000
       5.0861809   4.6509729e-18      0.00000
       5.0904899   4.7831731e-18      0.00000
       5.0947990   4.9183816e-18      0.00000
       5.0991080   5.0576722e-18      0.00000
       5.1034171   5.1969629e-18      0.00000
       5.1077261   5.3362536e-18      0.00000
       5.1120352   5.4755443e-18      0.00000
       5.1163442   5.6150441e-18      0.00000
       5.1206533   5.7612461e-18      0.00000
       5.1249623   5.9074481e-18      0.00000
       5.1292713   6.0536500e-18      0.00000
       5.1335804   6.1998520e-18      0.00000
       5.1378894   6.3460540e-18      0.00000
       5.1421985   6.4974566e-18      0.00000
       5.1465075   6.6518309e-18      0.00000
       5.1508166   6.8062052e-18      0.00000
       5.1551256   6.9605794e-18      0.00000
       5.1594347   7.1149537e-18      0.00000
       5.1637437   7.2723718e-18      0.00000
       5.1680528   7.4393036e-18      0.00000
       5.1723618   7.6062353e-18      0.00000
       5.1766708   7.7731671e-18      0.00000
       5.1809799   7.9400989e-18      0.00000
       5.1852889   8.1070307e-18      0.00000
       5.1895980   8.2940338e-18      0.00000
       5.1939070   8.4846202e-18      0.00000
       5.1982161   8.6752067e-18      0.00000
       5.2025251   8.8657932e-18      0.00000
       5.2068342   9.0563796e-18      0.00000
       5.2111432   9.2693783e-18      0.00000
       5.2154522   9.5092743e-18      0.00000
       5.2197613   9.7491703e-18      0.00000
       5.2240703   9.9890663e-18      0.00000
       5.2283794   1.0228962e-17      0.00000
       5.2326884   1.0475253e-17      0.00000
       5.2369975   1.0820594e-17      0.00000
       5.2413065   1.1165936e-17      0.00000
       5.2456156   1.1511278e-17      0.00000
       5.2499246   1.1856619e-17      0.00000
       5.2542337   1.2201961e-17      0.00000
       5.2585427   1.2694819e-17      0.00000
       5.2628517   1.3261439e-17      0.00000
       5.2671608   1.3828060e-17      0.00000
       5.2714698   1.4394681e-17      0.00000
       5.2757789   1.4961301e-17      0.00000
       5.2800879   1.5651274e-17      0.00000
       5.2843970   1.6670114e-17      0.00000
       5.2887060   1.7688954e-17      0.00000
       5.2930151   1.8707794e-17      0.00000
       5.2973241   1.9726634e-17      0.00000
       5.3016331   2.0745474e-17      0.00000
       5.3059422   2.2531981e-17      0.00000
       5.3102512   2.4424382e-17      0.00000
       5.3145603   2.6316783e-17      0.00000
       5.3188693   2.8209184e-17      0.00000
       5.3231784   3.0101585e-17      0.00000
       5.3274874   3.2771752e-17      0.00000
       5.3317965   3.6268131e-17      0.00000
       5.3361055   3.9764509e-17      0.00000
       5.3404145   4.3260888e-17      0.00000
       5.3447236   4.6757267e-17      0.00000
       5.3490326   5.0499895e-17      0.00000
       5.3533417   5.6705083e-17      0.00000
       5.3576507   6.2910271e-17      0.00000
